director_id,director
20237,Beeban Kidron
1082114,Timothy Bjorklund
27977,Leos Carax
66654,Kevin Donovan
565297,Jeff Newitt
17108,Jonathan Caouette
21377,Peter Medak
564082,Francesca Gregorini
54795,Troy Duffy
80013,Trevor Matthews
1404799,Vicky Jewson
162102,Myles Berkowitz
74058,Charles Ferguson
1927,Blake Edwards
492,Janusz Kamiński
51996,Brian Klugman
930212,Jon Erwin 
11770,John Carpenter
2199,Scott Frank
32765,Tony Richardson
30715,Terrence Malick
10855,Chris Gorak
74152,Christine Jeffs
51917,Larry Clark
76100,Ben Stassen
74569,Joby Harold
78108,Isaac Florentine
23213,Harold Becker
4483,Dustin Hoffman
11426,Ben Sharpsteen
80602,Tyler Perry
525,Christopher Nolan
1271492,Philip Zlotorynski
33317,David Leland
21415,Robby Henson
81853,Shigeyasu Yamauchi
1071,Tom Tykwer
65702,Kent Alterman
84021,Paul Gross
56512,Tarsem Singh
2178,Forest Whitaker
58667,Wayne Beach
14999,George A. Romero
61571,Barry Skolnick
77911,Deb Hagan
1152,Oliver Stone
22100,Hugh Johnson
578,Ridley Scott
130858,Danny Perez
132876,Brad Peyton
240,Stanley Kubrick
3110,Allison Anders
58912,Matthew Hastings
54967,Sam Weisman
62020,Jack Sholder
2127,James Wan
9855,Terence Young
111085,Jean-Jacques Mantello
1182832,Anthony Powell
26095,John Patrick Shanley
71280,Michael Dowse
17268,Ronny Yu
93133,Christopher Scott Cherot
1002001,Frank Lotito
12453,Wong Kar-wai
1365766,Barrett Esposito
86439,Norton Virgien
21136,Michael Cristofer
101399,Claudia Llosa
123694,Rob Pritts
10702,Martin Campbell
76595,Byron Howard
78488,Cathy Malkasian
99339,Ken Shapiro
82221,Brendan Malloy
688807,H.M. Coakley
57741,Mark Osborne
88077,Alex Zamm
23430,Timur Bekmambetov
3146,Billy Wilder
1378892,Jerry Dugan
1101410,Dave Green
642,Laura Lau
109857,Thor Freudenthal
202,Charlie Kaufman
76009,Arie Posin
137392,Nickolas Perry
11805,Frank Whaley
929825,Ava DuVernay
53068,Ryan Fleck
137262,Steve Purcell
33064,Henry Koster
80923,Måns Mårlind
10051,Tobe Hooper
86203,Bart Freundlich
3893,David S. Goyer
1171387,Thomas L. Phillips
36422,Luke Wilson
6778,John Guillermin
656971,Joseph Dorman
78023,Michael Herz
1424519,Jerome Elston Scott
53332,Frank Passingham
150,RZA
80924,Björn Stein
17350,Kevin Macdonald
56956,Michael Cohn
1284099,Gillian Robespierre
1184351,Georgia Hilton
18184,Xavier Gens
35734,Aaron Seltzer
74589,Chris Paine
84515,Katherine Brooks
18342,Todd Graff
52049,Jay Chandrasekhar
52112,Steve Carr
6349,Alan J. Pakula
1206,Jason Alexander
12524,Chris Carter
72133,Vicente Amorim
97966,John 'Bud' Cardos
999812,Bradley Parker
1027017,Dan Cutforth
1139506,Florence Ayisi
154705,Chris Butler
1557430,Chad Kapper
45405,Jay Duplass
119665,Gregory Jacobs
55789,Tate Taylor
1039527,Tyler Gillett
60438,Michael Landon Jr.
48965,Anthony Hickox
1224,Ethan Coen
80215,Charles Stone III
14773,Don Siegel
11558,Eugène Lourié
1011158,Florent-Emilio Siri
14520,John Sturges
81718,Mamoru Hosoda
36588,Joe Wright
130938,Sergei Bodrov
909318,Andrew Erwin
1385666,Rita Merson
1281387,Clay Kaytis
2589,Terry George
5306,Lasse Hallström
131856,Ashish R. Mohan
18679,Mark Tarlov
61087,Mennan Yapo
106491,Mark Griffiths
77964,Mike Barker
303056,Craig Johnson
129952,Sean McNamara
74341,Matt Maiellaro
37577,Bigas Luna
54590,Steve Rash
64131,Courtney Hunt
177532,Marielle Heller
8296,Christophe Gans
21126,Frédéric Auburtin
1749,Leonard Nimoy
57604,Joel Gallen
69144,Scott Marshall Smith
138781,Robert Eggers
123991,Steven Greenstreet
