movie_id,actor_id
49519,9599
12100,2963
12100,33527
12100,53
12100,11315
12100,103
290595,74568
290595,6885
290595,5081
290595,83002
290595,11109
98566,19537
98566,21200
98566,886
98566,64295
98566,80352
49047,18277
49047,1461
49047,228
49047,1223440
49047,58587
9619,517
9619,2713
9619,58727
9619,108939
9619,1219410
308531,19537
308531,76110
308531,21200
308531,350
308531,1163622
166424,996701
166424,51072
166424,135651
166424,478
166424,20286
1593,7399
1593,17834
1593,17832
1593,2157
1593,61303
254128,18918
254128,109513
254128,17832
254128,65524
254128,128645
714,517
714,378
714,1620
714,10742
714,10743
2024,2461
2024,1810
2024,20810
2024,11355
2024,10698
163,1461
163,287
163,1922
163,1204
163,1271
787,11701
787,287
787,4937
787,11702
787,11703
262500,94185
262500,587020
262500,204
262500,1159982
262500,996701
2567,6193
2567,112
2567,3967
2567,4764
2567,7447
38745,70851
38745,2956
38745,5081
38745,41088
38745,40477
40805,19274
40805,17380
40805,27319
40805,6941
40805,820
53182,38664
53182,10912
53182,17286
53182,208296
53182,1371
41513,5587
41513,41686
41513,34195
41513,63522
41513,1218645
13700,46393
13700,5309
13700,7906
13700,884
13700,27237
262504,94185
262504,587020
262504,37153
262504,996701
262504,3489
39254,6968
39254,234479
39254,19034
39254,53650
39254,79072
77931,5587
77931,41686
77931,2039
77931,34195
77931,13593
1639,18277
1639,12261
1639,5293
